edition	case	result	program_sha256	kernel_iso_sha256
IND/ta_Taml	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
IND/ta_Taml	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
IND/ta_Taml	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
IND/ta_Taml	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
IND/ta_Taml	socket	PASS	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
IND/ta_Taml	stdin	PASS	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
JPN/ja_Hira	core	PASS	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
JPN/ja_Hira	exec	PASS	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
JPN/ja_Hira	fork	PASS	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
JPN/ja_Hira	heap	PASS	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
JPN/ja_Hira	library	PASS	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
JPN/ja_Hira	native	PASS	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
