english	localized	language
regs	regs	lo
regtype	regtype	lo
rel	rel	lo
rela	rela	lo
release	release	lo
released	released	lo
reload	reload	lo
relocation	relocation	lo
remaining	remaining	lo
remote	remote	lo
remove	remove	lo
reply	reply	lo
request	request	lo
requested	requested	lo
reserved	reserved	lo
reset	reset	lo
resolve	resolve	lo
restore	restore	lo
result	result	lo
ret	ret	lo
revision	revision	lo
rgb	rgb	lo
right	right	lo
root	root	lo
round	round	lo
route	route	lo
rs	rs	lo
rt	rt	lo
run	run	lo
runnable	runnable	lo
rx	rx	lo
s	s	lo
saved	saved	lo
sc	sc	lo
scan	scan	lo
scancode	scancode	lo
sche	sche	lo
schedule	schedule	lo
scheduler	scheduler	lo
screen	screen	lo
secondary	secondary	lo
sect	sect	lo
section	section	lo
sector	sector	lo
sectors	sectors	lo
seek	seek	lo
seg	seg	lo
segment	segment	lo
segments	segments	lo
select	select	lo
selector	selector	lo
self	self	lo
send	send	lo
sequencer	sequencer	lo
serial	serial	lo
set	set	lo
setup	setup	lo
sh	sh	lo
shared	shared	lo
shentsize	shentsize	lo
shift	shift	lo
shndx	shndx	lo
shnum	shnum	lo
shoff	shoff	lo
shstrndx	shstrndx	lo
signature	signature	lo
simd	simd	lo
size	size	lo
sl	sl	lo
slave	slave	lo
sock	sock	lo
socket	socket	lo
socketcall	socketcall	lo
sockets	sockets	lo
soft	soft	lo
software	software	lo
source	source	lo
space	space	lo
spawn	spawn	lo
src	src	lo
srcptr	srcptr	lo
ss	ss	lo
st	st	lo
stack	stack	lo
stackbottom	stackbottom	lo
stacktop	stacktop	lo
start	start	lo
started	started	lo
starting	starting	lo
stat	stat	lo
state	state	lo
status	status	lo
stderr	stderr	lo
stdin	stdin	lo
stdout	stdout	lo
stop	stop	lo
stopped	stopped	lo
str	str	lo
string	string	lo
strtab	strtab	lo
subclass	subclass	lo
subnet	subnet	lo
support	support	lo
swap	swap	lo
switch	switch	lo
sym	sym	lo
sync	sync	lo
sys	sys	lo
syscall	syscall	lo
sysname	sysname	lo
system	system	lo
systemcall	systemcall	lo
t	t	lo
table	table	lo
tag	tag	lo
tail	tail	lo
tamd	tamd	lo
tarp	tarp	lo
task	task	lo
tasking	tasking	lo
tasks	tasks	lo
tcow	tcow	lo
tcpu	tcpu	lo
technology	technology	lo
temp	temp	lo
temporary	temporary	lo
tenth	tenth	lo
terminated	terminated	lo
test	test	lo
text	text	lo
thr	thr	lo
thread	thread	lo
threads	threads	lo
tick	tick	lo
ticmp	ticmp	lo
time	time	lo
timer	timer	lo
tip	tip	lo
tls	tls	lo
tmp	tmp	lo
tmsdos	tmsdos	lo
to	to	lo
top	top	lo
tos	tos	lo
total	total	lo
track	track	lo
trap	trap	lo
truncate	truncate	lo
tss	tss	lo
type	type	lo
t공용서술자테이블	t공용서술자테이블	lo
t작업관리자	t작업관리자	lo
t조각설명자	t조각설명자	lo
t콘솔	t콘솔	lo
t함수	t함수	lo
udesc	udesc	lo
udp	udp	lo
udp콘솔	udp콘솔	lo
uid	uid	lo
uint	uint	lo
uintptr	uintptr	lo
uname	uname	lo
unhandle	unhandle	lo
unhandled	unhandled	lo
unit	unit	lo
unset	unset	lo
unused	unused	lo
up	up	lo
update	update	lo
usable	usable	lo
use	use	lo
used	used	lo
user	user	lo
userhandler	userhandler	lo
usermode	usermode	lo
userproc	userproc	lo
util	util	lo
util콘솔	util콘솔	lo
uts	uts	lo
utsname	utsname	lo
v	v	lo
vaddr	vaddr	lo
val	val	lo
value	value	lo
values	values	lo
vector	vector	lo
vendor	vendor	lo
ver	ver	lo
version	version	lo
vfs	vfs	lo
vga	vga	lo
video	video	lo
virt	virt	lo
virtlen	virtlen	lo
virtmem	virtmem	lo
virtual	virtual	lo
volume	volume	lo
w	w	lo
wait	wait	lo
waitpid	waitpid	lo
wdata	wdata	lo
when	when	lo
whence	whence	lo
widget	widget	lo
width	width	lo
word	word	lo
writable	writable	lo
write	khian	lo
writer	writer	lo
x	x	lo
xy	xy	lo
y	y	lo
zero	zero	lo
값	값	lo
공용서술자테이블	공용서술자테이블	lo
기준	기준	lo
기준주소	기준주소	lo
낮은	낮은	lo
넷카드콘솔	넷카드콘솔	lo
높은	높은	lo
단말기	단말기	lo
마우스콘솔	마우스콘솔	lo
매개값	매개값	lo
매우높은	매우높은	lo
멈추기	멈추기	lo
목적	목적	lo
유형	유형	lo
이더넷콘솔	이더넷콘솔	lo
인터럽트무시하기	인터럽트무시하기	lo
인터럽트예외처리기	인터럽트예외처리기	lo
인터럽트요청처리	인터럽트요청처리	lo
인터럽트처리기	인터럽트처리기	lo
임시	임시	lo
자료	자료	lo
자신	자신	lo
작업관리자	작업관리자	lo
작업콘솔	작업콘솔	lo
조각설명자	조각설명자	lo
출력	출력	lo
콘솔	콘솔	lo
크기	크기	lo
키보드콘솔	키보드콘솔	lo
표시들	표시들	lo
한도	한도	lo
