edition	language	source_and_lowering	shell_idle_probe_elf	canonical_sha256
HUN	hu	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IDN	id	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IMN	en	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND	hi	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/as_Beng	as_Beng	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/bn_Beng	bn_Beng	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/brx_Deva	brx_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/doi_Deva	doi_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/gu_Gujr	gu_Gujr	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/hi_Deva	hi_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/kn_Knda	kn_Knda	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/kok_Deva	kok_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/kok_Latn	kok_Latn	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/ks_Arab	ks_Arab	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/ks_Deva	ks_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/mai_Deva	mai_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/ml_Mlym	ml_Mlym	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/mni_Beng	mni_Beng	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/mni_Mtei	mni_Mtei	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/mr_Deva	mr_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/ne_Deva	ne_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/or_Orya	or_Orya	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/pa_Arab	pa_Arab	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/pa_Guru	pa_Guru	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
IND/sa_Deva	sa_Deva	PASS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70
