go run tools/verify_country_sources.go
country source structure OK: 249/249
python3 tools/refine_country_names.py --check
SGP/en: names=35, tokens=358, paths=50, pending concepts=0
SGS/und: names=35, tokens=358, paths=50, pending concepts=0
SHN/en: names=35, tokens=358, paths=50, pending concepts=0
SJM/nb: names=5, tokens=24, paths=40, pending concepts=50
SLB/en: names=35, tokens=358, paths=50, pending concepts=0
SLE/en: names=35, tokens=358, paths=50, pending concepts=0
SLV/es: names=35, tokens=358, paths=50, pending concepts=0
SMR/it: names=35, tokens=358, paths=50, pending concepts=0
SOM/so: names=5, tokens=24, paths=40, pending concepts=50
SPM/fr: names=35, tokens=358, paths=50, pending concepts=0
SRB/sr_Cyrl: names=5, tokens=24, paths=40, pending concepts=50
SSD/en: names=35, tokens=358, paths=50, pending concepts=0
STP/pt: names=35, tokens=358, paths=50, pending concepts=0
SUR/nl: names=35, tokens=358, paths=50, pending concepts=0
SVK/sk: names=5, tokens=24, paths=40, pending concepts=50
SVN/sl: names=5, tokens=24, paths=40, pending concepts=50
SWE/sv: names=35, tokens=358, paths=50, pending concepts=0
SWZ/en: names=35, tokens=358, paths=50, pending concepts=0
SXM/en: names=35, tokens=358, paths=50, pending concepts=0
SYC/fr: names=35, tokens=358, paths=50, pending concepts=0
SYR/ar: names=35, tokens=358, paths=50, pending concepts=0
TCA/en: names=35, tokens=358, paths=50, pending concepts=0
TCD/fr: names=35, tokens=358, paths=50, pending concepts=0
TGO/fr: names=35, tokens=358, paths=50, pending concepts=0
THA/th: names=5, tokens=24, paths=40, pending concepts=50
TJK/tg_Cyrl: names=5, tokens=24, paths=40, pending concepts=50
TKL/en: names=35, tokens=358, paths=50, pending concepts=0
TKM/tk_Latn: names=5, tokens=24, paths=40, pending concepts=50
TLS/pt: names=35, tokens=358, paths=50, pending concepts=0
TON/to: names=5, tokens=24, paths=40, pending concepts=50
TTO/en: names=35, tokens=358, paths=50, pending concepts=0
TUN/ar: names=35, tokens=358, paths=50, pending concepts=0
TUR/tr: names=35, tokens=358, paths=50, pending concepts=0
TUV/tvl: names=5, tokens=24, paths=40, pending concepts=50
TWN/zh_Hant: names=34, tokens=331, paths=50, pending concepts=0
TZA/sw: names=5, tokens=24, paths=40, pending concepts=50
UGA/sw: names=5, tokens=24, paths=40, pending concepts=50
UKR/uk: names=35, tokens=358, paths=50, pending concepts=0
